date      <=_0   Lo_30  Med_40   Hi_30   Lo_20   Qnt_2   Qnt_3   Qnt_4   Hi_20   Lo_10   Dec_2   Dec_3   Dec_4   Dec_5   Dec_6   Dec_7   Dec_8   Dec_9   Hi_10
196607   -2.06   -2.26   -0.75   -0.41   -2.21   -1.39   -0.94   -0.47   -0.56   -1.83   -2.80   -2.38    0.13   -1.15   -0.82   -1.01   -0.12   -0.54   -0.58
196608   -9.57   -8.12   -6.98   -6.90   -7.77   -8.34   -6.78   -6.96   -7.04   -8.63   -6.40   -8.98   -7.40   -8.19   -6.00   -7.45   -6.65   -6.05   -7.86
196609   -2.74   -2.21    0.63    0.00   -2.71   -0.46    0.67   -0.15    0.40   -4.12   -0.48   -1.01    0.36   -1.93    2.08    0.79   -0.74   -0.57    1.22
196610   -5.72    2.22    7.28    4.40    0.47    6.41    7.52    7.70    2.49    0.46    0.48    6.46    6.34    5.21    8.72    7.36    7.91    5.30    0.19
196611   12.68    7.48   -0.93   -3.45    9.59    1.72   -1.30   -2.21   -3.63   12.35    5.41    2.63    0.35   -0.39   -1.76   -0.72   -3.14   -2.04   -5.00
196612    1.94   -0.23    1.03    0.54    0.20   -0.35    0.62    1.49    0.54    0.87   -0.88   -1.28    1.08    0.73    0.57    2.98    0.54    0.19    0.85
196701   16.67    8.35    6.62   10.58    9.15    7.00    6.15    6.57   13.11    9.20    9.07    6.36    7.96    7.42    5.51    7.12    6.20   12.38   13.76
196702    4.58    3.21    0.06   -1.14    3.97    1.47   -0.20   -1.30   -0.92    5.44    1.55    1.26    1.78   -1.09    0.27   -0.95   -1.53   -0.28   -1.48
196703    6.79    4.93    3.62    4.20    5.18    4.03    3.51    4.19    4.18    5.23    5.08    4.29    3.66    4.19    3.16    4.10    4.25    3.67    4.63
196704    5.12    6.03    2.61    3.71    6.17    5.28    1.96    2.11    4.84    6.13    6.26    5.64    4.75    3.10    1.37    2.87    1.60    1.81    7.52
196705   -2.23   -4.81   -3.65   -3.55   -4.66   -4.18   -4.00   -3.18   -3.78   -5.20   -3.74   -5.20   -2.66   -3.88   -4.06   -3.29   -3.11   -2.26   -5.05
196706   10.67    3.03    2.25    0.87    3.19    2.69    1.97    1.74    0.79    3.69    2.35    2.60    2.82    1.90    2.01    2.81    1.03    1.70    0.00
196707    8.99    3.91    4.52    6.19    3.65    5.13    4.11    5.09    6.60    4.15    2.99    4.74    5.48   11.44    1.05    4.78    5.32    6.90    5.86
196708   -0.33   -0.98   -0.71    0.20   -1.05   -0.26   -1.04   -0.71    0.61   -1.08   -1.01   -0.78    0.20   -1.63   -0.76   -0.77   -0.67   -0.12    2.45
196709    6.93    4.10    2.64    2.99    4.76    1.81    3.36    2.07    3.13    5.46    3.80    2.01    1.63    2.10    3.94    1.25    2.70    4.15    0.64
196710    0.69    0.15   -4.47   -4.50    1.52   -4.43   -4.08   -5.60   -4.12    3.91   -1.83   -4.27   -4.57   -6.81   -2.86   -5.97   -5.33   -3.76   -5.02
196711    0.85    2.30    0.02   -0.49    2.70    0.31   -0.01    0.90   -1.23    2.37    3.18    0.93   -0.26    0.91   -0.40    0.59    1.13   -1.29   -1.08
196712    7.64    2.99    3.29    2.75    2.55    3.62    3.09    3.88    2.59    2.78    2.21    4.53    2.79    2.97    3.15    4.93    3.10    2.58    2.62
196801   -7.16   -7.12   -2.04    0.20   -8.07   -3.77   -1.51   -0.60    0.21   -8.83   -6.94   -3.83   -3.71   -3.45   -0.69   -1.65    0.19   -0.20    1.28
196802   -9.03   -3.98   -2.76   -1.54   -4.12   -3.89   -2.42   -1.70   -1.53   -4.01   -4.28   -3.51   -4.24   -2.98   -2.19   -1.92   -1.55   -1.43   -1.82
196803    1.44    3.20   -0.89   -0.61    3.45    2.03   -1.67   -1.01   -0.58    4.05    2.56    2.40    1.68   -1.60   -1.70   -1.46   -0.69   -0.50   -0.78
196804   17.85   12.23    7.00    6.81   12.57   10.98    5.66    7.06    6.53   12.52   12.66   11.06   10.91    8.26    4.59    6.59    7.40    6.18    7.43
196805    9.71    4.12    1.09    1.21    4.36    2.17    0.87    2.03    0.80    4.90    3.55    3.29    1.15    1.30    0.69    1.92    2.10   -0.85    5.05
196806   -2.83   -0.71    2.82    2.43   -0.87    0.28    3.11    3.53    2.45   -1.19   -0.39   -0.13    0.67    1.92    3.61    5.15    2.39    2.25    2.95
196807   -4.75   -5.62   -1.23    0.95   -5.49   -3.79   -2.04    0.27    1.06   -5.61   -5.30   -6.07   -1.25   -1.13   -2.76   -0.01    0.62   -0.40    2.38
196808    2.20    1.80    2.13    1.45    1.86    1.52    2.37    2.13    1.28    0.80    3.47    1.58    1.46    1.83    2.81    2.25    1.97    1.62    0.97
196809    8.26    2.91    5.53    4.12    2.42    5.07    5.92    5.47    3.46    2.56    2.21    4.58    5.60    6.53    5.40    4.93    6.15    3.67    3.27
196810   -1.62   -1.99    2.16    2.96   -2.38    0.07    2.29    2.34    3.39   -3.79   -0.29   -0.67    0.86    0.79    3.58    2.88    1.65    3.23    3.53
196811    9.39    6.79    5.74    4.56    7.43    5.81    4.87    6.37    3.89    8.68    5.62    4.72    6.95    5.48    4.36    6.16    6.65    5.63    2.32
196812   -1.38   -4.54   -3.43   -3.06   -4.97   -3.97   -3.12   -2.49   -3.42   -4.69   -5.38   -3.09   -4.88   -2.70   -3.48   -2.88   -1.98   -3.71   -3.14
196901   -1.95   -1.95   -0.78    0.57   -2.39   -0.73   -0.49   -0.77    0.90   -2.53   -2.20   -0.46   -1.01   -0.38   -0.58   -1.04   -0.41    0.67    1.11
196902  -11.32   -4.80   -5.31   -4.20   -4.78   -4.91   -5.93   -5.37   -3.51   -4.70   -4.90   -4.88   -4.94   -5.84   -6.01   -4.68   -6.24   -4.18   -2.91
196903    3.76    4.04    2.88    2.51    4.29    2.84    2.05    4.77    1.61    5.11    3.06    3.22    2.43    2.16    1.96    4.36    5.30    0.42    2.68
196904    3.29    3.24    1.47    1.30    3.27    2.42    1.69    0.70    1.65    3.49    2.93    3.13    1.65    2.37    1.10    1.05    0.25    3.95   -0.35
196905   -0.23   -0.25    0.36    0.99    0.04    0.51   -1.12    1.31    0.78   -0.95    1.56   -1.20    2.37   -1.49   -0.80    1.08    1.61   -0.08    1.54
196906  -12.34   -4.01   -7.63   -6.72   -3.53   -6.84   -7.06   -8.42   -6.00   -1.01   -7.30   -5.61   -8.14   -7.12   -7.00   -8.08   -8.84   -6.20   -5.83
196907  -10.03   -5.43   -7.80   -5.49   -5.34   -7.37   -6.63   -7.07   -4.69   -5.04   -5.89   -5.67   -9.54   -6.07   -7.23   -8.33   -6.34   -4.46   -4.82
196908    8.67    7.69    4.61    2.10    7.95    6.08    5.12    3.62    0.63    7.77    8.27    7.00    4.85    4.43    5.88    3.55    3.67    1.16    0.31
196909   -2.70   -0.73   -3.60   -3.41   -1.05   -0.73   -2.90   -5.02   -2.51    0.01   -2.95    0.12   -1.89   -1.83   -4.05   -6.19   -4.34   -3.85   -1.68
196910    9.45    6.54    5.20    3.94    6.31    6.43    5.31    3.82    4.61    6.01    6.88    7.15    5.42    6.85    3.61    4.83    3.25    5.90    3.83
196911   -4.83   -2.11   -3.95   -3.58   -2.13   -2.45   -3.76   -3.57   -4.42   -1.10   -4.02   -2.05   -3.01   -3.91   -3.60   -5.11   -2.69   -4.96   -4.08
196912   -6.82    0.05   -2.03   -3.34    0.03   -0.52   -2.50   -3.16   -2.76    0.14   -0.18    0.10   -1.40   -1.85   -3.24   -1.75   -3.95   -2.01   -3.21
